"phase","cycle","order_seed","first","second","active_case_count","active_cases"
"measured","26","1026","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","27","1027","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","28","1028","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","29","1029","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","30","1030","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","31","1031","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","32","1032","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","33","1033","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","34","1034","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","35","1035","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","36","1036","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","37","1037","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","38","1038","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","39","1039","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","40","1040","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","41","1041","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","42","1042","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","43","1043","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","44","1044","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","45","1045","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","46","1046","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","47","1047","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","48","1048","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","49","1049","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","50","1050","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","51","1051","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","52","1052","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","53","1053","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","54","1054","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","55","1055","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","56","1056","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","57","1057","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","58","1058","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","59","1059","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","60","1060","nlohmann-2.0.0","rapidjson-1.9.5","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
"measured","61","1061","rapidjson-1.9.5","nlohmann-2.0.0","13","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb"
