"phase","cycle","order_seed","order_position","implementation","started_utc","completed_utc","duration_ms","peak_working_set_bytes","active_case_count","large_case_count","cohort","exit_code"
"measured","36","1036","2","rapidjson-1.9.5","2026-09-03T13:36:08.2627641Z","2026-09-03T13:36:09.5213836Z","1258.62","42520576","13","0","standard-only","0"
"measured","37","1037","1","rapidjson-1.9.5","2026-09-03T13:36:10.0182375Z","2026-09-03T13:36:11.2447261Z","1226.489","42430464","13","0","standard-only","0"
"measured","37","1037","2","nlohmann-2.0.0","2026-09-03T13:36:11.7539724Z","2026-09-03T13:36:13.2041923Z","1450.22","42741760","13","0","standard-only","0"
"measured","38","1038","1","nlohmann-2.0.0","2026-09-03T13:36:13.7966169Z","2026-09-03T13:36:15.2830363Z","1486.419","42942464","13","0","standard-only","0"
"measured","38","1038","2","rapidjson-1.9.5","2026-09-03T13:36:15.8085778Z","2026-09-03T13:36:17.1009534Z","1292.376","42467328","13","0","standard-only","0"
"measured","39","1039","1","rapidjson-1.9.5","2026-09-03T13:36:17.5918796Z","2026-09-03T13:36:18.8730289Z","1281.149","42446848","13","0","standard-only","0"
"measured","39","1039","2","nlohmann-2.0.0","2026-09-03T13:36:19.9166046Z","2026-09-03T13:36:21.3927145Z","1476.11","42741760","13","0","standard-only","0"
"measured","40","1040","1","nlohmann-2.0.0","2026-09-03T13:36:22.3085644Z","2026-09-03T13:36:23.6895638Z","1380.999","40546304","13","0","standard-only","0"
"measured","40","1040","2","rapidjson-1.9.5","2026-09-03T13:36:24.2053574Z","2026-09-03T13:36:25.5198496Z","1314.492","40058880","13","0","standard-only","0"
"measured","41","1041","1","rapidjson-1.9.5","2026-09-03T13:36:26.4369476Z","2026-09-03T13:36:27.6762710Z","1239.323","42553344","13","0","standard-only","0"
"measured","41","1041","2","nlohmann-2.0.0","2026-09-03T13:36:28.1773880Z","2026-09-03T13:36:29.6083430Z","1430.955","42889216","13","0","standard-only","0"
"measured","42","1042","1","nlohmann-2.0.0","2026-09-03T13:36:30.1084183Z","2026-09-03T13:36:31.5631548Z","1454.736","42897408","13","0","standard-only","0"
"measured","42","1042","2","rapidjson-1.9.5","2026-09-03T13:36:32.1140286Z","2026-09-03T13:36:33.3792679Z","1265.239","42512384","13","0","standard-only","0"
"measured","43","1043","1","rapidjson-1.9.5","2026-09-03T13:36:34.1584428Z","2026-09-03T13:36:35.4311061Z","1272.663","42553344","13","0","standard-only","0"
"measured","43","1043","2","nlohmann-2.0.0","2026-09-03T13:36:35.9434117Z","2026-09-03T13:36:37.3825941Z","1439.182","42958848","13","0","standard-only","0"
"measured","44","1044","1","nlohmann-2.0.0","2026-09-03T13:36:37.8835021Z","2026-09-03T13:36:39.3245403Z","1441.038","42799104","13","0","standard-only","0"
"measured","44","1044","2","rapidjson-1.9.5","2026-09-03T13:36:39.8202983Z","2026-09-03T13:36:41.0609491Z","1240.651","42393600","13","0","standard-only","0"
"measured","45","1045","1","rapidjson-1.9.5","2026-09-03T13:36:41.6107006Z","2026-09-03T13:36:42.8463365Z","1235.636","39874560","13","0","standard-only","0"
